"split","aAcc","fAcc","qAcc"
"Overall","68.76971608832808","46.53179190751445","42.417582417582416"
"VS","72.22222222222221","53.44827586206896","48.31460674157304"
"VD","66.66666666666666","43.04347826086957","38.628158844765345"
"VS_ocr","68.51851851851852","57.692307692307686","37.03703703703704"
"VS_chart","75.38461538461539","52.5","63.1578947368421"
"VS_map","57.8125","45.45454545454545","15.625"
"VD_illusion","60.416666666666664","38.70967741935484","30.555555555555557"
"VD_math","69.44444444444444","44.44444444444444","44.44444444444444"
"VD_video","57.647058823529406","16.666666666666664","20.28985507246377"
"VD_figure","80.0","63.41463414634146","58.97435897435898"
"VS_table","78.57142857142857","57.14285714285714","53.48837209302325"
"VD_ocr","78.65168539325843","58.139534883720934","55.81395348837209"
