"split","aAcc","fAcc","qAcc"
"Overall","42.797055730809674","8.38150289017341","6.813186813186813"
"VS","39.44444444444444","9.482758620689655","7.865168539325842"
"VD","44.83925549915397","7.82608695652174","6.137184115523466"
"VS_ocr","46.2962962962963","26.923076923076923","3.7037037037037033"
"VD_ocr","48.31460674157304","0.0","2.3255813953488373"
"VD_math","40.74074074074074","5.555555555555555","14.814814814814813"
"VD_video","44.70588235294118","2.083333333333333","5.797101449275362"
"VS_map","45.3125","9.090909090909092","6.25"
"VD_illusion","42.36111111111111","12.903225806451612","1.3888888888888888"
"VD_figure","51.24999999999999","17.073170731707318","7.6923076923076925"
"VS_chart","32.30769230769231","2.5","13.157894736842104"
"VS_table","41.07142857142857","3.571428571428571","2.3255813953488373"
