"split","aAcc","fAcc","qAcc"
"Overall","43.217665615141954","18.786127167630056","19.560439560439562"
"VS","38.05555555555556","11.206896551724139","17.97752808988764"
"VD","46.36209813874789","22.608695652173914","20.577617328519857"
"VD_video","40.588235294117645","2.083333333333333","8.695652173913043"
"VD_ocr","66.29213483146067","48.837209302325576","44.18604651162791"
"VS_table","35.714285714285715","0.0","11.627906976744185"
"VS_ocr","35.18518518518518","11.538461538461538","18.51851851851852"
"VD_math","28.703703703703702","2.7777777777777777","11.11111111111111"
"VS_map","43.75","13.636363636363635","12.5"
"VD_illusion","50.69444444444444","25.806451612903224","23.61111111111111"
"VS_chart","38.46153846153847","17.5","23.684210526315788"
"VD_figure","52.5","31.70731707317073","23.076923076923077"
