"split","aAcc","fAcc","qAcc"
"Overall","63.40694006309149","38.15028901734104","37.8021978021978"
"VS","70.0","40.51724137931034","49.43820224719101"
"VD","59.390862944162436","36.95652173913043","30.324909747292416"
"VD_ocr","73.03370786516854","53.48837209302325","48.837209302325576"
"VD_video","44.70588235294118","6.25","8.695652173913043"
"VD_illusion","57.638888888888886","37.096774193548384","25.0"
"VS_table","83.03571428571429","50.0","69.76744186046511"
"VD_figure","73.75","60.97560975609756","48.717948717948715"
"VS_ocr","51.85185185185185","34.61538461538461","18.51851851851852"
"VS_map","50.0","22.727272727272727","12.5"
"VS_chart","76.15384615384615","47.5","64.47368421052632"
"VD_math","62.96296296296296","30.555555555555557","37.03703703703704"
