"split","aAcc","fAcc","qAcc"
"Overall","57.623554153522605","28.61271676300578","33.18681318681318"
"VD","53.80710659898477","26.956521739130434","26.714801444043324"
"VS","63.888888888888886","31.896551724137932","43.258426966292134"
"VS_map","53.125","31.818181818181817","18.75"
"VD_math","44.44444444444444","13.88888888888889","16.666666666666664"
"VD_ocr","65.1685393258427","41.86046511627907","41.86046511627907"
"VD_video","47.647058823529406","12.5","14.492753623188406"
"VS_table","71.42857142857143","28.57142857142857","51.162790697674424"
"VD_illusion","52.77777777777778","22.58064516129032","26.38888888888889"
"VS_chart","67.6923076923077","32.5","56.57894736842105"
"VS_ocr","51.85185185185185","34.61538461538461","22.22222222222222"
"VD_figure","68.75","46.34146341463415","46.15384615384615"
