"split","aAcc","fAcc","qAcc"
"Overall","49.21135646687697","21.09826589595376","17.142857142857142"
"VD","54.314720812182735","24.782608695652176","18.4115523465704"
"VS","40.833333333333336","13.793103448275861","15.168539325842698"
"VS_map","53.125","13.636363636363635","15.625"
"VS_ocr","40.74074074074074","26.923076923076923","11.11111111111111"
"VS_chart","39.23076923076923","12.5","23.684210526315788"
"VS_table","35.714285714285715","3.571428571428571","2.3255813953488373"
"VD_illusion","45.83333333333333","20.967741935483872","5.555555555555555"
"VD_ocr","65.1685393258427","39.53488372093023","34.883720930232556"
"VD_math","50.0","8.333333333333332","25.925925925925924"
"VD_video","52.352941176470594","10.416666666666668","5.797101449275362"
"VD_figure","67.5","46.34146341463415","35.8974358974359"
