"split","aAcc","fAcc","qAcc"
"Overall","54.4689800210305","26.300578034682083","21.75824175824176"
"VS","45.27777777777778","12.931034482758621","14.04494382022472"
"VD","60.06768189509306","33.04347826086956","26.714801444043324"
"VD_math","61.111111111111114","11.11111111111111","31.48148148148148"
"VD_video","48.23529411764706","8.333333333333332","5.797101449275362"
"VD_ocr","73.03370786516854","48.837209302325576","46.51162790697674"
"VD_figure","72.5","58.536585365853654","46.15384615384615"
"VS_chart","41.53846153846154","10.0","21.052631578947366"
"VS_table","42.857142857142854","3.571428571428571","4.651162790697675"
"VS_map","50.0","13.636363636363635","9.375"
"VS_ocr","53.70370370370371","26.923076923076923","14.814814814814813"
"VD_illusion","58.333333333333336","37.096774193548384","20.833333333333336"
