"split","aAcc","fAcc","qAcc"
"Overall","42.16614090431125","11.271676300578035","16.043956043956044"
"VS","38.333333333333336","10.344827586206897","14.606741573033707"
"VD","44.50084602368866","11.73913043478261","16.967509025270758"
"VD_video","41.76470588235294","4.166666666666666","13.043478260869565"
"VS_chart","36.15384615384615","5.0","15.789473684210526"
"VD_ocr","40.44943820224719","6.976744186046512","13.953488372093023"
"VS_map","45.3125","13.636363636363635","21.875"
"VD_math","52.77777777777778","8.333333333333332","24.074074074074073"
"VD_illusion","42.36111111111111","14.516129032258066","15.277777777777779"
"VS_ocr","48.148148148148145","23.076923076923077","18.51851851851852"
"VD_figure","47.5","24.390243902439025","20.51282051282051"
"VS_table","32.142857142857146","3.571428571428571","4.651162790697675"
