"split","aAcc","fAcc","qAcc"
"Overall","42.90220820189275","14.450867052023122","14.945054945054945"
"VD","46.02368866328257","16.52173913043478","16.60649819494585"
"VS","37.77777777777778","10.344827586206897","12.359550561797752"
"VD_ocr","43.82022471910113","9.30232558139535","11.627906976744185"
"VD_video","47.05882352941176","10.416666666666668","11.594202898550725"
"VS_table","33.035714285714285","7.142857142857142","2.3255813953488373"
"VD_math","45.370370370370374","13.88888888888889","25.925925925925924"
"VS_chart","36.92307692307693","7.5","18.421052631578945"
"VS_ocr","40.74074074074074","19.230769230769234","7.4074074074074066"
"VD_illusion","43.05555555555556","20.967741935483872","15.277777777777779"
"VD_figure","52.5","26.82926829268293","20.51282051282051"
"VS_map","45.3125","9.090909090909092","15.625"
