"split","aAcc","fAcc","qAcc"
"Overall","62.9863301787592","38.15028901734104","36.48351648351648"
"VS","61.94444444444444","30.17241379310345","38.20224719101123"
"VD","63.62098138747885","42.173913043478265","35.37906137184115"
"VD_video","51.17647058823529","12.5","13.043478260869565"
"VS_ocr","55.55555555555556","42.30769230769231","25.925925925925924"
"VD_ocr","76.40449438202246","58.139534883720934","53.48837209302325"
"VS_map","50.0","31.818181818181817","6.25"
"VS_table","63.39285714285714","14.285714285714285","37.2093023255814"
"VS_chart","69.23076923076923","32.5","56.57894736842105"
"VD_figure","76.25","63.41463414634146","53.84615384615385"
"VD_math","66.66666666666666","36.11111111111111","40.74074074074074"
"VD_illusion","61.111111111111114","43.54838709677419","31.944444444444443"
