"split","aAcc","fAcc","qAcc"
"Overall","63.196635120925336","33.81502890173411","36.48351648351648"
"VS","71.11111111111111","35.3448275862069","49.43820224719101"
"VD","58.37563451776649","33.04347826086956","28.158844765342963"
"VS_table","74.10714285714286","35.714285714285715","53.48837209302325"
"VD_math","45.370370370370374","8.333333333333332","20.37037037037037"
"VD_illusion","63.19444444444444","38.70967741935484","33.33333333333333"
"VD_figure","70.0","48.78048780487805","41.02564102564102"
"VS_map","64.0625","27.27272727272727","28.125"
"VD_video","48.8235294117647","14.583333333333334","8.695652173913043"
"VD_ocr","74.15730337078652","51.162790697674424","48.837209302325576"
"VS_ocr","59.25925925925925","30.76923076923077","22.22222222222222"
"VS_chart","76.92307692307693","42.5","65.78947368421053"
