"split","aAcc","fAcc","qAcc"
"Overall","68.55941114616193","47.97687861271676","44.395604395604394"
"VD","64.9746192893401","47.391304347826086","39.35018050541516"
"VS","74.44444444444444","49.137931034482754","52.24719101123596"
"VD_ocr","80.89887640449437","65.11627906976744","62.7906976744186"
"VS_table","79.46428571428571","42.857142857142854","60.46511627906976"
"VS_map","57.8125","31.818181818181817","15.625"
"VD_math","59.25925925925925","30.555555555555557","35.18518518518518"
"VD_figure","83.75","73.17073170731707","66.66666666666666"
"VD_video","46.470588235294116","12.5","7.246376811594203"
"VS_ocr","68.51851851851852","53.84615384615385","37.03703703703704"
"VD_illusion","70.83333333333334","54.83870967741935","44.44444444444444"
"VS_chart","80.76923076923077","60.0","68.42105263157895"
