"split","aAcc","fAcc","qAcc"
"Overall","61.82965299684543","34.971098265895954","34.94505494505494"
"VD","55.499153976311334","33.04347826086956","24.548736462093864"
"VS","72.22222222222221","38.793103448275865","51.12359550561798"
"VS_table","76.78571428571429","39.285714285714285","53.48837209302325"
"VD_figure","68.75","51.21951219512195","38.46153846153847"
"VD_video","45.88235294117647","10.416666666666668","4.3478260869565215"
"VS_ocr","59.25925925925925","30.76923076923077","22.22222222222222"
"VD_ocr","75.28089887640449","55.81395348837209","51.162790697674424"
"VS_chart","75.38461538461539","42.5","65.78947368421053"
"VD_illusion","59.72222222222222","37.096774193548384","26.38888888888889"
"VD_math","38.88888888888889","8.333333333333332","16.666666666666664"
"VS_map","68.75","40.909090909090914","37.5"
