"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","428","256","42.8","25.6"
"scientific reasoning","122","66","45","54.09836065573771","36.885245901639344"
"textbook question answering","158","75","51","47.46835443037975","32.278481012658226"
"numeric commonsense","144","34","24","23.61111111111111","16.666666666666664"
"arithmetic reasoning","353","96","73","27.19546742209632","20.679886685552407"
"visual question answering","179","90","48","50.27932960893855","26.81564245810056"
"geometry reasoning","239","147","61","61.50627615062761","25.523012552301257"
"algebraic reasoning","281","168","73","59.7864768683274","25.97864768683274"
"geometry problem solving","208","138","57","66.34615384615384","27.403846153846157"
"math word problem","186","18","35","9.67741935483871","18.817204301075268"
"logical reasoning","37","19","8","51.35135135135135","21.62162162162162"
"figure question answering","269","107","65","39.77695167286245","24.1635687732342"
"statistical reasoning","301","101","68","33.5548172757475","22.591362126245848"
