"split","aAcc","fAcc","qAcc"
"Overall","73.29127234490011","52.312138728323696","50.76923076923077"
"VD","70.21996615905245","50.0","44.765342960288805"
"VS","78.33333333333333","56.896551724137936","60.1123595505618"
"VS_chart","82.3076923076923","65.0","72.36842105263158"
"VD_ocr","82.02247191011236","67.44186046511628","65.11627906976744"
"VD_figure","78.75","65.85365853658537","58.97435897435898"
"VS_table","83.03571428571429","57.14285714285714","65.11627906976744"
"VS_map","64.0625","40.909090909090914","31.25"
"VS_ocr","75.92592592592592","57.692307692307686","51.85185185185185"
"VD_video","63.52941176470588","33.33333333333333","33.33333333333333"
"VD_math","68.51851851851852","33.33333333333333","42.592592592592595"
"VD_illusion","67.36111111111111","50.0","37.5"
