"split","aAcc","fAcc","qAcc"
"Overall","68.664563617245","38.72832369942196","43.956043956043956"
"VD","66.15905245346869","40.0","37.18411552346571"
"VS","72.77777777777777","36.206896551724135","54.49438202247191"
"VS_ocr","61.111111111111114","34.61538461538461","22.22222222222222"
"VD_figure","75.0","56.09756097560976","48.717948717948715"
"VS_table","72.32142857142857","28.57142857142857","58.139534883720934"
"VD_illusion","65.27777777777779","37.096774193548384","34.72222222222222"
"VS_map","67.1875","31.818181818181817","34.375"
"VD_ocr","83.14606741573034","69.76744186046511","67.44186046511628"
"VD_video","55.294117647058826","14.583333333333334","15.942028985507244"
"VD_math","63.888888888888886","25.0","35.18518518518518"
"VS_chart","80.76923076923077","45.0","72.36842105263158"
