"split","aAcc","fAcc","qAcc"
"Overall","55.83596214511041","30.057803468208093","28.35164835164835"
"VS","60.55555555555555","27.586206896551722","33.146067415730336"
"VD","52.96108291032149","31.30434782608696","25.27075812274368"
"VD_math","39.81481481481482","5.555555555555555","14.814814814814813"
"VD_figure","76.25","58.536585365853654","56.41025641025641"
"VS_table","75.89285714285714","42.857142857142854","55.81395348837209"
"VD_illusion","49.30555555555556","27.419354838709676","12.5"
"VD_video","40.0","2.083333333333333","7.246376811594203"
"VD_ocr","78.65168539325843","65.11627906976744","60.46511627906976"
"VS_map","51.5625","18.181818181818183","12.5"
"VS_chart","56.92307692307692","20.0","39.473684210526315"
"VS_ocr","48.148148148148145","30.76923076923077","3.7037037037037033"
