"split","aAcc","fAcc","qAcc"
"Overall","66.03575184016825","40.7514450867052","39.78021978021978"
"VS","66.11111111111111","37.93103448275862","43.258426966292134"
"VD","65.98984771573603","42.173913043478265","37.545126353790614"
"VS_ocr","62.96296296296296","42.30769230769231","25.925925925925924"
"VS_chart","71.53846153846153","40.0","60.526315789473685"
"VS_map","54.6875","31.818181818181817","15.625"
"VS_table","67.85714285714286","35.714285714285715","44.18604651162791"
"VD_video","56.470588235294116","14.583333333333334","18.84057971014493"
"VD_figure","78.75","65.85365853658537","56.41025641025641"
"VD_illusion","66.66666666666666","43.54838709677419","37.5"
"VD_ocr","76.40449438202246","55.81395348837209","53.48837209302325"
"VD_math","62.03703703703704","33.33333333333333","35.18518518518518"
