"split","aAcc","fAcc","qAcc"
"Overall","64.7739221871714","36.127167630057805","36.92307692307693"
"VD","61.25211505922166","39.130434782608695","30.324909747292416"
"VS","70.55555555555556","30.17241379310345","47.19101123595505"
"VS_ocr","55.55555555555556","26.923076923076923","18.51851851851852"
"VS_chart","73.07692307692307","27.500000000000004","60.526315789473685"
"VS_map","65.625","22.727272727272727","31.25"
"VD_ocr","78.65168539325843","60.46511627906976","58.139534883720934"
"VD_figure","66.25","48.78048780487805","30.76923076923077"
"VD_math","51.85185185185185","22.22222222222222","25.925925925925924"
"VD_illusion","63.19444444444444","43.54838709677419","31.944444444444443"
"VD_video","54.11764705882353","18.75","14.492753623188406"
"VS_table","77.67857142857143","42.857142857142854","53.48837209302325"
