"split","aAcc","fAcc","qAcc"
"Overall","71.60883280757098","54.04624277456648","46.15384615384615"
"VD","69.7123519458545","53.47826086956522","42.96028880866426"
"VS","74.72222222222223","55.172413793103445","51.12359550561798"
"VD_illusion","62.5","43.54838709677419","26.38888888888889"
"VD_video","59.411764705882355","35.41666666666667","24.637681159420293"
"VD_figure","83.75","75.60975609756098","66.66666666666666"
"VD_math","72.22222222222221","50.0","50.0"
"VS_chart","80.76923076923077","57.49999999999999","68.42105263157895"
"VS_ocr","61.111111111111114","50.0","25.925925925925924"
"VS_map","60.9375","50.0","21.875"
"VD_ocr","85.39325842696628","69.76744186046511","69.76744186046511"
"VS_table","82.14285714285714","60.71428571428571","58.139534883720934"
