"split","aAcc","fAcc","qAcc"
"Overall","49.00105152471083","19.942196531791907","16.923076923076923"
"VD","52.96108291032149","24.347826086956523","17.689530685920577"
"VS","42.5","11.206896551724139","15.730337078651685"
"VS_chart","32.30769230769231","5.0","19.736842105263158"
"VD_illusion","44.44444444444444","19.35483870967742","6.944444444444445"
"VD_video","50.0","8.333333333333332","10.144927536231885"
"VS_table","46.42857142857143","7.142857142857142","11.627906976744185"
"VD_ocr","68.53932584269663","41.86046511627907","37.2093023255814"
"VS_map","53.125","18.181818181818183","12.5"
"VD_figure","57.49999999999999","39.02439024390244","23.076923076923077"
"VD_math","52.77777777777778","16.666666666666664","22.22222222222222"
"VS_ocr","46.2962962962963","19.230769230769234","14.814814814814813"
