"split","aAcc","fAcc","qAcc"
"Overall","60.35751840168244","28.32369942196532","32.08791208791209"
"VS","65.0","26.72413793103448","39.8876404494382"
"VD","57.52961082910322","29.130434782608695","27.075812274368232"
"VS_table","66.96428571428571","21.428571428571427","34.883720930232556"
"VD_figure","62.5","43.90243902439025","28.205128205128204"
"VD_illusion","56.94444444444444","29.03225806451613","20.833333333333336"
"VS_chart","70.76923076923077","27.500000000000004","56.57894736842105"
"VD_video","45.88235294117647","8.333333333333332","13.043478260869565"
"VD_ocr","68.53932584269663","48.837209302325576","44.18604651162791"
"VS_map","54.6875","22.727272727272727","21.875"
"VS_ocr","59.25925925925925","34.61538461538461","22.22222222222222"
"VD_math","63.888888888888886","16.666666666666664","38.88888888888889"
