"split","aAcc","fAcc","qAcc"
"Overall","71.39852786540484","43.0635838150289","45.934065934065934"
"VS","76.94444444444444","45.689655172413794","57.30337078651685"
"VD","68.02030456852792","41.73913043478261","38.628158844765345"
"VS_map","65.625","31.818181818181817","34.375"
"VS_chart","83.84615384615385","60.0","72.36842105263158"
"VD_math","64.81481481481481","25.0","38.88888888888889"
"VD_illusion","63.888888888888886","35.483870967741936","29.166666666666668"
"VS_ocr","64.81481481481481","34.61538461538461","29.629629629629626"
"VS_table","81.25","46.42857142857143","65.11627906976744"
"VD_figure","85.0","75.60975609756098","69.23076923076923"
"VD_video","62.35294117647059","18.75","23.18840579710145"
"VD_ocr","74.15730337078652","58.139534883720934","51.162790697674424"
