"split","aAcc","fAcc","qAcc"
"Overall","70.13669821240799","48.554913294797686","45.494505494505496"
"VS","76.11111111111111","53.44827586206896","56.74157303370787"
"VD","66.49746192893402","46.08695652173913","38.26714801444043"
"VD_figure","91.25","85.36585365853658","82.05128205128204"
"VD_illusion","65.97222222222221","48.38709677419355","33.33333333333333"
"VD_video","61.76470588235294","16.666666666666664","18.84057971014493"
"VS_table","77.67857142857143","46.42857142857143","58.139534883720934"
"VS_chart","85.38461538461539","70.0","76.31578947368422"
"VS_ocr","68.51851851851852","53.84615384615385","37.03703703703704"
"VD_math","49.074074074074076","19.444444444444446","25.925925925925924"
"VS_map","60.9375","31.818181818181817","25.0"
"VD_ocr","75.28089887640449","60.46511627906976","53.48837209302325"
