"split","aAcc","fAcc","qAcc"
"Overall","72.55520504731862","49.421965317919074","48.13186813186813"
"VS","78.05555555555556","55.172413793103445","58.98876404494382"
"VD","69.20473773265653","46.52173913043478","41.15523465703971"
"VS_table","84.82142857142857","60.71428571428571","67.44186046511628"
"VD_math","70.37037037037037","38.88888888888889","44.44444444444444"
"VD_ocr","83.14606741573034","67.44186046511628","67.44186046511628"
"VD_video","58.235294117647065","16.666666666666664","18.84057971014493"
"VS_ocr","59.25925925925925","42.30769230769231","25.925925925925924"
"VD_illusion","63.888888888888886","41.935483870967744","29.166666666666668"
"VD_figure","85.0","73.17073170731707","69.23076923076923"
"VS_chart","86.15384615384616","62.5","77.63157894736842"
"VS_map","65.625","50.0","31.25"
