"split","aAcc","fAcc","qAcc"
"Overall","66.35120925341745","41.32947976878613","39.34065934065934"
"VS","66.66666666666666","37.93103448275862","42.69662921348314"
"VD","66.15905245346869","43.04347826086957","37.18411552346571"
"VD_figure","85.0","75.60975609756098","69.23076923076923"
"VS_map","60.9375","45.45454545454545","21.875"
"VD_video","57.05882352941176","16.666666666666664","17.391304347826086"
"VD_math","62.96296296296296","30.555555555555557","33.33333333333333"
"VS_ocr","57.407407407407405","42.30769230769231","22.22222222222222"
"VD_illusion","61.111111111111114","40.32258064516129","30.555555555555557"
"VS_table","73.21428571428571","25.0","53.48837209302325"
"VS_chart","67.6923076923077","40.0","52.63157894736842"
"VD_ocr","78.65168539325843","55.81395348837209","55.81395348837209"
