"split","aAcc","fAcc","qAcc"
"Overall","70.66246056782335","48.554913294797686","44.61538461538462"
"VD","69.54314720812182","48.26086956521739","40.43321299638989"
"VS","72.5","49.137931034482754","51.12359550561798"
"VD_math","62.96296296296296","27.77777777777778","37.03703703703704"
"VS_map","57.8125","40.909090909090914","15.625"
"VS_ocr","66.66666666666666","53.84615384615385","37.03703703703704"
"VS_table","80.35714285714286","50.0","60.46511627906976"
"VD_video","64.11764705882354","29.166666666666668","21.73913043478261"
"VD_figure","80.0","68.29268292682927","58.97435897435898"
"VD_illusion","68.05555555555556","50.0","37.5"
"VD_ocr","80.89887640449437","65.11627906976744","62.7906976744186"
"VS_chart","75.38461538461539","50.0","65.78947368421053"
