"split","aAcc","fAcc","qAcc"
"Overall","74.44794952681389","54.04624277456648","52.307692307692314"
"VS","76.11111111111111","54.310344827586206","58.42696629213483"
"VD","73.43485617597293","53.91304347826087","48.375451263537904"
"VD_illusion","74.30555555555556","58.06451612903226","48.61111111111111"
"VS_map","65.625","50.0","31.25"
"VD_video","65.88235294117646","29.166666666666668","30.434782608695656"
"VD_figure","82.5","73.17073170731707","64.1025641025641"
"VD_math","68.51851851851852","38.88888888888889","44.44444444444444"
"VS_table","83.03571428571429","53.57142857142857","67.44186046511628"
"VS_chart","77.6923076923077","55.00000000000001","69.73684210526315"
"VS_ocr","70.37037037037037","57.692307692307686","44.44444444444444"
"VD_ocr","84.26966292134831","69.76744186046511","67.44186046511628"
