"split","aAcc","fAcc","qAcc"
"Overall","50.8937960042061","22.54335260115607","17.802197802197803"
"VS","40.833333333333336","9.482758620689655","8.98876404494382"
"VD","57.021996615905245","29.130434782608695","23.465703971119133"
"VD_ocr","69.66292134831461","41.86046511627907","39.53488372093023"
"VD_math","67.5925925925926","22.22222222222222","42.592592592592595"
"VS_table","42.857142857142854","3.571428571428571","4.651162790697675"
"VS_ocr","46.2962962962963","23.076923076923077","3.7037037037037033"
"VD_figure","65.0","46.34146341463415","33.33333333333333"
"VD_illusion","44.44444444444444","27.419354838709676","8.333333333333332"
"VS_chart","35.38461538461539","5.0","15.789473684210526"
"VD_video","50.588235294117645","10.416666666666668","8.695652173913043"
"VS_map","43.75","9.090909090909092","3.125"
