"split","aAcc","fAcc","qAcc"
"Overall","49.52681388012618","20.520231213872833","18.24175824175824"
"VD","51.09983079526227","23.47826086956522","18.772563176895307"
"VS","46.94444444444444","14.655172413793101","17.415730337078653"
"VD_math","38.88888888888889","5.555555555555555","7.4074074074074066"
"VD_illusion","52.77777777777778","27.419354838709676","18.055555555555554"
"VS_map","51.5625","18.181818181818183","15.625"
"VD_figure","62.5","39.02439024390244","30.76923076923077"
"VS_chart","39.23076923076923","10.0","19.736842105263158"
"VD_video","42.94117647058823","2.083333333333333","7.246376811594203"
"VS_table","48.214285714285715","10.714285714285714","13.953488372093023"
"VS_ocr","57.407407407407405","23.076923076923077","18.51851851851852"
"VD_ocr","68.53932584269663","41.86046511627907","41.86046511627907"
