"split","aAcc","fAcc","qAcc"
"Overall","64.98422712933754","31.502890173410403","33.18681318681318"
"VS","71.38888888888889","35.3448275862069","46.06741573033708"
"VD","61.082910321489","29.565217391304348","24.90974729241877"
"VD_illusion","59.02777777777778","24.193548387096776","19.444444444444446"
"VD_figure","58.75","39.02439024390244","17.94871794871795"
"VS_chart","76.15384615384615","32.5","61.8421052631579"
"VS_table","81.25","57.14285714285714","58.139534883720934"
"VD_ocr","75.28089887640449","53.48837209302325","51.162790697674424"
"VS_ocr","61.111111111111114","34.61538461538461","22.22222222222222"
"VD_video","55.294117647058826","12.5","10.144927536231885"
"VD_math","62.96296296296296","22.22222222222222","35.18518518518518"
"VS_map","53.125","13.636363636363635","12.5"
