"split","aAcc","fAcc","qAcc"
"Overall","56.88748685594112","26.300578034682083","24.615384615384617"
"VS","52.77777777777778","18.103448275862068","23.03370786516854"
"VD","59.390862944162436","30.434782608695656","25.63176895306859"
"VS_map","54.6875","22.727272727272727","15.625"
"VD_math","64.81481481481481","22.22222222222222","37.03703703703704"
"VD_ocr","70.78651685393258","44.18604651162791","41.86046511627907"
"VS_table","49.107142857142854","7.142857142857142","4.651162790697675"
"VS_ocr","57.407407407407405","26.923076923076923","22.22222222222222"
"VD_illusion","55.55555555555556","29.03225806451613","15.277777777777779"
"VS_chart","53.07692307692308","17.5","36.84210526315789"
"VD_video","50.588235294117645","14.583333333333334","11.594202898550725"
"VD_figure","65.0","43.90243902439025","35.8974358974359"
