"split","aAcc","fAcc","qAcc"
"Overall","56.88748685594112","21.38728323699422","23.956043956043956"
"VS","54.72222222222223","11.206896551724139","26.96629213483146"
"VD","58.206429780033844","26.521739130434785","22.021660649819495"
"VD_illusion","56.94444444444444","30.64516129032258","18.055555555555554"
"VD_figure","61.25000000000001","39.02439024390244","23.076923076923077"
"VS_table","50.0","3.571428571428571","18.6046511627907"
"VD_video","51.76470588235295","12.5","11.594202898550725"
"VS_chart","58.46153846153847","17.5","42.10526315789473"
"VS_ocr","57.407407407407405","19.230769230769234","14.814814814814813"
"VS_map","53.125","0.0","12.5"
"VD_math","63.888888888888886","16.666666666666664","37.03703703703704"
"VD_ocr","62.92134831460674","32.55813953488372","25.581395348837212"
