"split","aAcc","fAcc","qAcc"
"Overall","60.88328075709779","32.369942196531795","34.065934065934066"
"VD","57.360406091370564","30.434782608695656","26.353790613718413"
"VS","66.66666666666666","36.206896551724135","46.06741573033708"
"VS_map","51.5625","22.727272727272727","15.625"
"VD_video","46.470588235294116","4.166666666666666","7.246376811594203"
"VD_ocr","67.41573033707866","37.2093023255814","37.2093023255814"
"VD_figure","71.25","53.65853658536586","41.02564102564102"
"VD_math","50.92592592592593","16.666666666666664","29.629629629629626"
"VD_illusion","61.111111111111114","38.70967741935484","27.77777777777778"
"VS_table","67.85714285714286","21.428571428571427","48.837209302325576"
"VS_chart","76.92307692307693","55.00000000000001","65.78947368421053"
"VS_ocr","57.407407407407405","34.61538461538461","22.22222222222222"
