"split","aAcc","fAcc","qAcc"
"Overall","54.15352260778128","25.43352601156069","23.516483516483515"
"VS","57.49999999999999","17.24137931034483","29.775280898876407"
"VD","52.115059221658214","29.565217391304348","19.494584837545126"
"VD_figure","65.0","46.34146341463415","30.76923076923077"
"VD_video","41.76470588235294","6.25","4.3478260869565215"
"VD_math","33.33333333333333","2.7777777777777777","7.4074074074074066"
"VS_chart","53.07692307692308","15.0","35.526315789473685"
"VS_ocr","53.70370370370371","30.76923076923077","14.814814814814813"
"VS_table","64.28571428571429","7.142857142857142","34.883720930232556"
"VS_map","57.8125","18.181818181818183","21.875"
"VD_illusion","54.861111111111114","29.03225806451613","15.277777777777779"
"VD_ocr","78.65168539325843","62.7906976744186","55.81395348837209"
