"split","aAcc","fAcc","qAcc"
"Overall","66.8769716088328","38.4393063583815","40.21978021978022"
"VS","75.0","50.86206896551724","53.37078651685393"
"VD","61.92893401015228","32.17391304347826","31.768953068592058"
"VS_chart","75.38461538461539","50.0","59.210526315789465"
"VD_math","60.18518518518518","25.0","37.03703703703704"
"VD_figure","60.0","31.70731707317073","25.64102564102564"
"VS_table","82.14285714285714","46.42857142857143","65.11627906976744"
"VD_video","57.647058823529406","12.5","15.942028985507244"
"VD_ocr","79.7752808988764","62.7906976744186","62.7906976744186"
"VS_map","54.6875","36.36363636363637","12.5"
"VS_ocr","83.33333333333334","69.23076923076923","66.66666666666666"
"VD_illusion","58.333333333333336","30.64516129032258","27.77777777777778"
