"split","aAcc","fAcc","qAcc"
"Overall","49.31650893796004","27.45664739884393","28.13186813186813"
"VS","62.77777777777778","35.3448275862069","38.20224719101123"
"VD","41.11675126903553","23.47826086956522","21.660649819494584"
"VD_video","44.11764705882353","10.416666666666668","13.043478260869565"
"VS_ocr","51.85185185185185","34.61538461538461","22.22222222222222"
"VS_chart","57.692307692307686","25.0","42.10526315789473"
"VD_ocr","79.7752808988764","67.44186046511628","65.11627906976744"
"VD_figure","52.5","31.70731707317073","28.205128205128204"
"VS_table","78.57142857142857","53.57142857142857","53.48837209302325"
"VD_math","23.14814814814815","2.7777777777777777","12.962962962962962"
"VD_illusion","20.833333333333336","9.67741935483871","6.944444444444445"
"VS_map","54.6875","31.818181818181817","21.875"
