"split","aAcc","fAcc","qAcc"
"Overall","48.79074658254469","26.589595375722542","28.79120879120879"
"VS","62.77777777777778","36.206896551724135","39.325842696629216"
"VD","40.27072758037225","21.73913043478261","22.021660649819495"
"VD_video","42.94117647058823","8.333333333333332","15.942028985507244"
"VS_ocr","55.55555555555556","38.46153846153847","25.925925925925924"
"VS_table","77.67857142857143","50.0","53.48837209302325"
"VD_figure","52.5","26.82926829268293","28.205128205128204"
"VD_ocr","80.89887640449437","69.76744186046511","69.76744186046511"
"VS_chart","56.92307692307692","27.500000000000004","44.73684210526316"
"VS_map","54.6875","31.818181818181817","18.75"
"VD_illusion","15.972222222222221","6.451612903225806","4.166666666666666"
"VD_math","25.925925925925924","2.7777777777777777","11.11111111111111"
