"split","aAcc","fAcc","qAcc"
"Overall","66.77181913774973","44.21965317919075","41.97802197802198"
"VD","62.605752961082906","41.73913043478261","33.935018050541515"
"VS","73.61111111111111","49.137931034482754","54.49438202247191"
"VD_illusion","59.72222222222222","38.70967741935484","23.61111111111111"
"VD_figure","66.25","53.65853658536586","38.46153846153847"
"VD_ocr","80.89887640449437","67.44186046511628","62.7906976744186"
"VS_map","64.0625","45.45454545454545","28.125"
"VS_table","76.78571428571429","39.285714285714285","60.46511627906976"
"VD_math","61.111111111111114","25.0","37.03703703703704"
"VS_ocr","66.66666666666666","53.84615384615385","37.03703703703704"
"VS_chart","78.46153846153847","55.00000000000001","68.42105263157895"
"VD_video","54.70588235294118","25.0","21.73913043478261"
