"split","aAcc","fAcc","qAcc"
"Overall","36.48790746582545","9.826589595375722","9.89010989010989"
"VD","33.16412859560068","8.695652173913043","7.9422382671480145"
"VS","41.94444444444444","12.068965517241379","12.921348314606742"
"VD_ocr","55.0561797752809","25.581395348837212","25.581395348837212"
"VS_table","40.17857142857143","7.142857142857142","4.651162790697675"
"VS_ocr","42.592592592592595","19.230769230769234","11.11111111111111"
"VS_chart","44.61538461538462","7.5","19.736842105263158"
"VS_map","39.0625","18.181818181818183","9.375"
"VD_illusion","27.77777777777778","8.064516129032258","4.166666666666666"
"VD_math","24.074074074074073","2.7777777777777777","7.4074074074074066"
"VD_video","40.588235294117645","4.166666666666666","5.797101449275362"
"VD_figure","15.0","2.4390243902439024","0.0"
