"split","aAcc","fAcc","qAcc"
"Overall","49.1062039957939","22.254335260115607","16.7032967032967"
"VS","45.27777777777778","14.655172413793101","15.730337078651685"
"VD","51.438240270727576","26.08695652173913","17.328519855595665"
"VS_map","51.5625","9.090909090909092","9.375"
"VS_ocr","57.407407407407405","30.76923076923077","25.925925925925924"
"VD_math","40.74074074074074","11.11111111111111","14.814814814814813"
"VD_illusion","54.861111111111114","41.935483870967744","18.055555555555554"
"VD_ocr","64.04494382022472","30.23255813953488","27.906976744186046"
"VD_video","42.35294117647059","4.166666666666666","2.898550724637681"
"VS_chart","40.76923076923077","12.5","21.052631578947366"
"VS_table","41.07142857142857","7.142857142857142","4.651162790697675"
"VD_figure","65.0","36.58536585365854","33.33333333333333"
