"split","aAcc","fAcc","qAcc"
"Overall","37.64458464773922","9.53757225433526","9.89010989010989"
"VS","35.833333333333336","8.620689655172415","11.797752808988763"
"VD","38.74788494077834","10.0","8.664259927797833"
"VS_map","48.4375","13.636363636363635","9.375"
"VS_ocr","38.88888888888889","11.538461538461538","7.4074074074074066"
"VD_illusion","44.44444444444444","14.516129032258066","6.944444444444445"
"VD_figure","37.5","14.634146341463413","10.256410256410255"
"VS_chart","36.92307692307693","10.0","17.105263157894736"
"VS_table","25.892857142857146","0.0","6.976744186046512"
"VD_ocr","40.44943820224719","9.30232558139535","4.651162790697675"
"VD_math","36.11111111111111","8.333333333333332","14.814814814814813"
"VD_video","35.294117647058826","2.083333333333333","7.246376811594203"
