"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","540","398","54.0","39.800000000000004"
"scientific reasoning","122","94","44","77.04918032786885","36.0655737704918"
"textbook question answering","158","107","47","67.72151898734177","29.746835443037973"
"numeric commonsense","144","39","46","27.083333333333332","31.944444444444443"
"arithmetic reasoning","353","99","123","28.04532577903683","34.844192634560905"
"visual question answering","179","92","63","51.39664804469274","35.19553072625698"
"geometry reasoning","239","212","82","88.70292887029288","34.30962343096235"
"algebraic reasoning","281","239","87","85.05338078291815","30.96085409252669"
"geometry problem solving","208","203","71","97.59615384615384","34.13461538461539"
"math word problem","186","22","77","11.827956989247312","41.39784946236559"
"logical reasoning","37","24","5","64.86486486486487","13.513513513513514"
"figure question answering","269","116","140","43.12267657992565","52.04460966542751"
"statistical reasoning","301","106","158","35.21594684385382","52.49169435215947"
