"split","aAcc","fAcc","qAcc"
"Overall","55.941114616193474","25.722543352601157","25.71428571428571"
"VD","52.62267343485617","27.391304347826086","18.4115523465704"
"VS","61.38888888888889","22.413793103448278","37.07865168539326"
"VS_chart","60.0","17.5","47.368421052631575"
"VS_table","71.42857142857143","35.714285714285715","46.51162790697674"
"VS_ocr","53.70370370370371","26.923076923076923","14.814814814814813"
"VD_math","34.25925925925926","5.555555555555555","5.555555555555555"
"VD_illusion","52.083333333333336","27.419354838709676","18.055555555555554"
"VD_video","48.23529411764706","16.666666666666664","5.797101449275362"
"VD_ocr","73.03370786516854","48.837209302325576","46.51162790697674"
"VS_map","53.125","9.090909090909092","18.75"
"VD_figure","65.0","36.58536585365854","28.205128205128204"
