"split","aAcc","fAcc","qAcc"
"Overall","45.95162986330178","13.583815028901732","10.989010989010989"
"VD","46.36209813874789","14.782608695652174","10.108303249097473"
"VS","45.27777777777778","11.206896551724139","12.359550561797752"
"VD_video","42.35294117647059","2.083333333333333","2.898550724637681"
"VD_illusion","43.75","17.741935483870968","6.944444444444445"
"VS_map","46.875","9.090909090909092","6.25"
"VD_figure","58.75","31.70731707317073","17.94871794871795"
"VS_table","46.42857142857143","3.571428571428571","4.651162790697675"
"VS_ocr","46.2962962962963","23.076923076923077","3.7037037037037033"
"VS_chart","43.07692307692308","10.0","22.36842105263158"
"VD_ocr","52.80898876404494","16.27906976744186","11.627906976744185"
"VD_math","41.66666666666667","5.555555555555555","16.666666666666664"
