"split","aAcc","fAcc","qAcc"
"Overall","47.10830704521556","17.63005780346821","17.582417582417584"
"VD","46.192893401015226","20.869565217391305","17.689530685920577"
"VS","48.61111111111111","11.206896551724139","17.415730337078653"
"VD_figure","65.0","43.90243902439025","30.76923076923077"
"VS_map","54.6875","22.727272727272727","12.5"
"VS_chart","44.61538461538462","2.5","21.052631578947366"
"VD_ocr","69.66292134831461","46.51162790697674","39.53488372093023"
"VD_math","29.629629629629626","0.0","7.4074074074074066"
"VS_ocr","57.407407407407405","26.923076923076923","29.629629629629626"
"VD_illusion","32.63888888888889","9.67741935483871","8.333333333333332"
"VS_table","45.535714285714285","0.0","6.976744186046512"
"VD_video","47.05882352941176","8.333333333333332","14.492753623188406"
