"split","aAcc","fAcc","qAcc"
"Overall","46.89800210304942","19.36416184971098","14.285714285714285"
"VD","48.73096446700508","22.17391304347826","15.523465703971121"
"VS","43.888888888888886","13.793103448275861","12.359550561797752"
"VS_chart","35.38461538461539","5.0","14.473684210526317"
"VS_table","42.857142857142854","7.142857142857142","4.651162790697675"
"VD_ocr","66.29213483146067","32.55813953488372","30.23255813953488"
"VS_map","48.4375","9.090909090909092","9.375"
"VD_figure","65.0","41.46341463414634","33.33333333333333"
"VD_illusion","45.83333333333333","27.419354838709676","9.722222222222223"
"VS_ocr","61.111111111111114","38.46153846153847","22.22222222222222"
"VD_video","40.588235294117645","2.083333333333333","4.3478260869565215"
"VD_math","38.88888888888889","5.555555555555555","12.962962962962962"
