"split","aAcc","fAcc","qAcc"
"Overall","49.63196635120926","20.520231213872833","17.582417582417584"
"VD","51.776649746192895","26.521739130434785","18.772563176895307"
"VS","46.111111111111114","8.620689655172415","15.730337078651685"
"VS_ocr","51.85185185185185","26.923076923076923","14.814814814814813"
"VS_table","47.32142857142857","0.0","6.976744186046512"
"VD_illusion","52.083333333333336","29.03225806451613","15.277777777777779"
"VS_chart","43.07692307692308","5.0","25.0"
"VD_ocr","67.41573033707866","34.883720930232556","32.55813953488372"
"VS_map","45.3125","4.545454545454546","6.25"
"VD_math","37.96296296296296","2.7777777777777777","11.11111111111111"
"VD_figure","70.0","53.65853658536586","41.02564102564102"
"VD_video","43.529411764705884","10.416666666666668","7.246376811594203"
