"split","aAcc","fAcc","qAcc"
"Overall","47.10830704521556","17.63005780346821","14.065934065934066"
"VS","43.611111111111114","12.068965517241379","13.48314606741573"
"VD","49.23857868020304","20.434782608695652","14.440433212996389"
"VS_ocr","57.407407407407405","30.76923076923077","22.22222222222222"
"VD_ocr","66.29213483146067","32.55813953488372","32.55813953488372"
"VS_map","48.4375","13.636363636363635","9.375"
"VS_chart","35.38461538461539","5.0","15.789473684210526"
"VS_table","43.75","3.571428571428571","6.976744186046512"
"VD_math","40.74074074074074","8.333333333333332","14.814814814814813"
"VD_figure","62.5","36.58536585365854","25.64102564102564"
"VD_video","44.70588235294118","4.166666666666666","5.797101449275362"
"VD_illusion","43.05555555555556","20.967741935483872","5.555555555555555"
