"split","aAcc","fAcc","qAcc"
"Overall","53.41745531019979","24.85549132947977","23.296703296703296"
"VD","52.79187817258884","29.130434782608695","20.938628158844764"
"VS","54.44444444444444","16.379310344827587","26.96629213483146"
"VS_chart","51.53846153846153","5.0","34.21052631578947"
"VD_illusion","56.25","30.64516129032258","18.055555555555554"
"VS_table","63.39285714285714","25.0","34.883720930232556"
"VS_map","43.75","13.636363636363635","6.25"
"VD_ocr","75.28089887640449","53.48837209302325","51.162790697674424"
"VD_math","37.03703703703704","5.555555555555555","9.25925925925926"
"VD_video","40.588235294117645","6.25","2.898550724637681"
"VD_figure","68.75","48.78048780487805","41.02564102564102"
"VS_ocr","55.55555555555556","26.923076923076923","18.51851851851852"
