"split","aAcc","fAcc","qAcc"
"Overall","53.83806519453207","28.901734104046245","25.494505494505493"
"VS","50.83333333333333","17.24137931034483","22.47191011235955"
"VD","55.668358714044","34.78260869565217","27.436823104693143"
"VD_ocr","70.78651685393258","51.162790697674424","51.162790697674424"
"VS_chart","45.38461538461539","10.0","26.31578947368421"
"VD_illusion","45.83333333333333","33.87096774193548","15.277777777777779"
"VD_math","65.74074074074075","30.555555555555557","42.592592592592595"
"VS_ocr","48.148148148148145","23.076923076923077","18.51851851851852"
"VS_table","58.03571428571429","21.428571428571427","27.906976744186046"
"VD_figure","73.75","58.536585365853654","46.15384615384615"
"VS_map","51.5625","18.181818181818183","9.375"
"VD_video","41.17647058823529","4.166666666666666","2.898550724637681"
