"split","aAcc","fAcc","qAcc"
"Overall","49.31650893796004","20.809248554913296","19.560439560439562"
"VS","46.94444444444444","12.068965517241379","20.786516853932586"
"VD","50.76142131979695","25.217391304347824","18.772563176895307"
"VD_math","30.555555555555557","5.555555555555555","3.7037037037037033"
"VD_ocr","64.04494382022472","39.53488372093023","34.883720930232556"
"VD_video","50.588235294117645","8.333333333333332","15.942028985507244"
"VD_figure","66.25","46.34146341463415","38.46153846153847"
"VS_map","48.4375","18.181818181818183","9.375"
"VS_table","51.78571428571429","3.571428571428571","20.930232558139537"
"VD_illusion","49.30555555555556","25.806451612903224","12.5"
"VS_chart","45.38461538461539","15.0","28.947368421052634"
"VS_ocr","38.88888888888889","11.538461538461538","11.11111111111111"
