"split","aAcc","fAcc","qAcc"
"Overall","50.36803364879074","19.36416184971098","17.142857142857142"
"VD","51.09983079526227","23.47826086956522","15.523465703971121"
"VS","49.166666666666664","11.206896551724139","19.662921348314608"
"VD_math","33.33333333333333","2.7777777777777777","7.4074074074074066"
"VS_table","51.78571428571429","3.571428571428571","11.627906976744185"
"VS_chart","45.38461538461539","7.5","28.947368421052634"
"VS_ocr","48.148148148148145","23.076923076923077","14.814814814814813"
"VD_illusion","48.61111111111111","22.58064516129032","8.333333333333332"
"VD_video","48.8235294117647","10.416666666666668","7.246376811594203"
"VD_ocr","73.03370786516854","51.162790697674424","44.18604651162791"
"VD_figure","60.0","29.268292682926827","23.076923076923077"
"VS_map","53.125","13.636363636363635","12.5"
