"split","aAcc","fAcc","qAcc"
"Overall","52.47108307045215","19.653179190751445","21.318681318681318"
"VD","53.299492385786806","22.608695652173914","19.855595667870034"
"VS","51.11111111111111","13.793103448275861","23.595505617977526"
"VD_figure","61.25000000000001","34.146341463414636","25.64102564102564"
"VS_ocr","48.148148148148145","23.076923076923077","7.4074074074074066"
"VS_chart","57.692307692307686","20.0","42.10526315789473"
"VD_video","45.294117647058826","4.166666666666666","7.246376811594203"
"VD_math","46.2962962962963","11.11111111111111","20.37037037037037"
"VS_table","44.642857142857146","0.0","11.627906976744185"
"VD_ocr","73.03370786516854","48.837209302325576","44.18604651162791"
"VD_illusion","51.388888888888886","17.741935483870968","13.88888888888889"
"VS_map","51.5625","9.090909090909092","9.375"
