"split","aAcc","fAcc","qAcc"
"Overall","56.57202944269191","27.74566473988439","29.230769230769234"
"VS","61.94444444444444","27.586206896551722","38.20224719101123"
"VD","53.299492385786806","27.82608695652174","23.465703971119133"
"VD_math","43.51851851851852","13.88888888888889","20.37037037037037"
"VD_illusion","54.861111111111114","35.483870967741936","22.22222222222222"
"VS_map","56.25","22.727272727272727","15.625"
"VD_figure","71.25","46.34146341463415","46.15384615384615"
"VD_video","42.35294117647059","4.166666666666666","5.797101449275362"
"VD_ocr","67.41573033707866","37.2093023255814","37.2093023255814"
"VS_ocr","50.0","26.923076923076923","18.51851851851852"
"VS_table","69.64285714285714","28.57142857142857","48.837209302325576"
"VS_chart","63.07692307692307","30.0","48.68421052631579"
