"split","aAcc","fAcc","qAcc"
"Overall","64.7739221871714","37.861271676300575","37.8021978021978"
"VS","70.0","38.793103448275865","48.31460674157304"
"VD","61.59052453468698","37.391304347826086","31.046931407942242"
"VD_figure","71.25","48.78048780487805","43.58974358974359"
"VS_table","75.0","32.142857142857146","51.162790697674424"
"VD_video","54.11764705882353","22.916666666666664","11.594202898550725"
"VD_ocr","75.28089887640449","55.81395348837209","51.162790697674424"
"VD_math","58.333333333333336","19.444444444444446","35.18518518518518"
"VS_chart","74.61538461538461","45.0","64.47368421052632"
"VS_ocr","68.51851851851852","46.15384615384615","40.74074074074074"
"VD_illusion","59.02777777777778","38.70967741935484","27.77777777777778"
"VS_map","53.125","27.27272727272727","12.5"
