"split","aAcc","fAcc","qAcc"
"Overall","48.47528916929548","20.23121387283237","13.406593406593407"
"VD","52.28426395939086","26.08695652173913","15.523465703971121"
"VS","42.22222222222222","8.620689655172415","10.112359550561797"
"VD_figure","63.74999999999999","46.34146341463415","28.205128205128204"
"VD_ocr","65.1685393258427","32.55813953488372","32.55813953488372"
"VD_illusion","45.83333333333333","29.03225806451613","6.944444444444445"
"VS_chart","33.84615384615385","5.0","14.473684210526317"
"VS_ocr","59.25925925925925","26.923076923076923","18.51851851851852"
"VS_map","45.3125","4.545454545454546","3.125"
"VD_math","43.51851851851852","13.88888888888889","16.666666666666664"
"VD_video","51.17647058823529","8.333333333333332","5.797101449275362"
"VS_table","41.964285714285715","0.0","2.3255813953488373"
