"split","aAcc","fAcc","qAcc"
"Overall","48.580441640378545","21.965317919075144","16.7032967032967"
"VD","50.592216582064296","26.956521739130434","17.328519855595665"
"VS","45.27777777777778","12.068965517241379","15.730337078651685"
"VD_figure","68.75","51.21951219512195","38.46153846153847"
"VD_ocr","73.03370786516854","46.51162790697674","46.51162790697674"
"VD_video","42.35294117647059","2.083333333333333","5.797101449275362"
"VS_chart","38.46153846153847","7.5","18.421052631578945"
"VS_ocr","59.25925925925925","26.923076923076923","22.22222222222222"
"VS_map","43.75","9.090909090909092","3.125"
"VS_table","47.32142857142857","7.142857142857142","16.27906976744186"
"VD_illusion","45.83333333333333","29.03225806451613","6.944444444444445"
"VD_math","37.96296296296296","5.555555555555555","7.4074074074074066"
