"split","aAcc","fAcc","qAcc"
"Overall","59.516298633017875","26.589595375722542","29.89010989010989"
"VD","56.51438240270728","28.695652173913043","23.104693140794225"
"VS","64.44444444444444","22.413793103448278","40.44943820224719"
"VS_ocr","57.407407407407405","26.923076923076923","18.51851851851852"
"VD_video","50.588235294117645","18.75","10.144927536231885"
"VD_math","46.2962962962963","8.333333333333332","16.666666666666664"
"VD_ocr","74.15730337078652","46.51162790697674","46.51162790697674"
"VS_chart","68.46153846153847","25.0","56.57894736842105"
"VS_table","64.28571428571429","14.285714285714285","37.2093023255814"
"VS_map","62.5","22.727272727272727","25.0"
"VD_illusion","57.638888888888886","29.03225806451613","23.61111111111111"
"VD_figure","61.25000000000001","39.02439024390244","28.205128205128204"
