"split","aAcc","fAcc","qAcc"
"Overall","52.15562565720294","23.699421965317917","22.41758241758242"
"VS","57.49999999999999","23.275862068965516","33.146067415730336"
"VD","48.90016920473773","23.91304347826087","15.523465703971121"
"VD_math","33.33333333333333","5.555555555555555","5.555555555555555"
"VD_video","41.17647058823529","4.166666666666666","5.797101449275362"
"VS_table","65.17857142857143","28.57142857142857","41.86046511627907"
"VD_ocr","68.53932584269663","41.86046511627907","37.2093023255814"
"VS_chart","56.92307692307692","17.5","40.78947368421053"
"VS_map","50.0","27.27272727272727","12.5"
"VS_ocr","51.85185185185185","23.076923076923077","22.22222222222222"
"VD_figure","70.0","51.21951219512195","38.46153846153847"
"VD_illusion","45.83333333333333","19.35483870967742","6.944444444444445"
