"split","aAcc","fAcc","qAcc"
"Overall","53.62776025236593","24.277456647398843","23.736263736263734"
"VD","50.08460236886633","25.217391304347824","16.967509025270758"
"VS","59.44444444444444","22.413793103448278","34.26966292134831"
"VS_ocr","57.407407407407405","23.076923076923077","25.925925925925924"
"VS_chart","60.0","17.5","42.10526315789473"
"VD_ocr","70.78651685393258","46.51162790697674","41.86046511627907"
"VS_map","50.0","27.27272727272727","9.375"
"VD_math","33.33333333333333","5.555555555555555","5.555555555555555"
"VD_illusion","50.69444444444444","20.967741935483872","9.722222222222223"
"VS_table","65.17857142857143","25.0","44.18604651162791"
"VD_video","40.0","4.166666666666666","4.3478260869565215"
"VD_figure","70.0","51.21951219512195","41.02564102564102"
