"split","aAcc","fAcc","qAcc"
"Overall","71.71398527865405","48.554913294797686","47.03296703296703"
"VS","79.72222222222223","58.620689655172406","61.23595505617978"
"VD","66.83587140439933","43.47826086956522","37.90613718411552"
"VS_ocr","61.111111111111114","38.46153846153847","22.22222222222222"
"VD_figure","77.5","68.29268292682927","53.84615384615385"
"VD_ocr","76.40449438202246","53.48837209302325","53.48837209302325"
"VS_chart","85.38461538461539","67.5","77.63157894736842"
"VS_map","67.1875","45.45454545454545","34.375"
"VD_math","63.888888888888886","33.33333333333333","40.74074074074074"
"VD_illusion","62.5","37.096774193548384","27.77777777777778"
"VS_table","89.28571428571429","75.0","76.74418604651163"
"VD_video","62.35294117647059","29.166666666666668","27.536231884057973"
