"split","aAcc","fAcc","qAcc"
"Overall","67.2975814931651","40.46242774566474","39.120879120879124"
"VD","63.7901861252115","40.0","32.12996389891697"
"VS","73.05555555555556","41.37931034482759","50.0"
"VS_map","59.375","31.818181818181817","21.875"
"VS_table","81.25","53.57142857142857","62.7906976744186"
"VD_figure","70.0","56.09756097560976","41.02564102564102"
"VD_video","55.88235294117647","16.666666666666664","14.492753623188406"
"VD_math","62.96296296296296","30.555555555555557","35.18518518518518"
"VD_ocr","77.52808988764045","55.81395348837209","55.81395348837209"
"VS_chart","78.46153846153847","42.5","65.78947368421053"
"VS_ocr","59.25925925925925","34.61538461538461","18.51851851851852"
"VD_illusion","61.80555555555556","41.935483870967744","27.77777777777778"
