"split","aAcc","fAcc","qAcc"
"Overall","41.74553101997897","18.20809248554913","18.681318681318682"
"VS","37.77777777777778","11.206896551724139","19.101123595505616"
"VD","44.16243654822335","21.73913043478261","18.4115523465704"
"VS_chart","44.61538461538462","17.5","30.263157894736842"
"VS_ocr","31.48148148148148","11.538461538461538","11.11111111111111"
"VD_illusion","50.0","29.03225806451613","18.055555555555554"
"VD_math","29.629629629629626","2.7777777777777777","9.25925925925926"
"VD_video","36.470588235294116","2.083333333333333","8.695652173913043"
"VD_ocr","59.55056179775281","44.18604651162791","37.2093023255814"
"VS_table","32.142857142857146","0.0","11.627906976744185"
"VD_figure","52.5","26.82926829268293","28.205128205128204"
"VS_map","39.0625","13.636363636363635","9.375"
